145→20860,28
146→32599,74
147→36139,12
148→22539,6
149→27877,8
150→28003,2
151→24408,136
152→27883,2
153→30008,6
154→21348,4
155→28493,2
156→22995,12
157→38601,34
158→32109,4
159→38433,4
160→32935,2
161→20251,2
162→28800,2
163→35783,4
164→22734,2
165→25511,2
166→20063,26
167→36106,16
168→22350,10
169→30695,12
170→31747,2
171→33010,2
172→36562,38
173→25949,6
174→33222,2
175→36750,6
176→37682,2
177→27410,18
178→26704,20
179→32136,2
180→24053,2
181→40516,4
182→21521,92
183→40724,72
184→21713,2
185→23044,28
186→22196,44
187→35121,20
188→31581,2
189→26536,2
190→24605,44
191→35545,4
192→23420,2
193→29926,14
194→26152,2
195→35777,2
196→23612,12
197→26360,110
198→32552,14
199→20097,28
200→39986,2
201→32932,18
202→21519,10
203→29546,6
204→35925,220
205→22992,8
206→38606,10
207→23418,56
208→38262,2
209→29310,2
210→27870,6
211→38296,2
212→20269,2
213→20867,2
214→36902,6
215→39176,4
216→21189,18
217→39512,2
218→28652,6
219→22368,8
220→28460,2
221→27428,4
222→39720,2
223→36768,4
224→35770,14
225→23615,2
226→26367,8
227→30202,2
228→33487,50
229→40175,262
230→32555,2
231→37027,8
232→35542,14
233→26969,12
234→23427,260
235→34490,2
236→26155,4
237→30030,2
238→24266,4
239→40723,72
240→23043,2
241→29579,742
242→26531,10
243→28699,6
244→32131,2
245→40511,52
246→24868,4
247→36757,10
248→34000,10
249→31572,8
250→22959,2
251→23285,2
252→31740,2
253→25172,4
254→35784,10
255→34656,6
256→31324,4
257→26393,160
258→39149,6
259→20064,20
260→36101,8
261→33641,6
262→20256,30
263→21384,2
264→27073,10
265→29975,54
266→30064,114
267→35516,12
268→37241,6
269→24656,10
270→25784,4
271→37073,48
272→24464,114
273→32501,10
274→31384,2
275→32959,4
276→26757,34
277→35340,2
278→35172,2
279→20692,2
280→33285,6
281→36531,2
282→20454,14
283→32191,10
284→39579,2
285→33043,4
286→28639,10
287→22303,292
288→31526,6
289→26591,2
290→34054,2
291→35186,78
292→36703,2
293→40783,4
294→31142,12
295→30090,14
296→34430,2
297→23487,52
298→20202,18
299→33615,2
300→37087,2
301→20030,48
302→36155,2
303→24490,116
304→25542,6
305→36969,40
306→31370,2
307→22767,22
308→32368,2
309→40748,2
310→19989,12
311→32966,2
312→37428,18
313→38460,4
314→21129,126
315→38236,12
316→24669,2
317→31189,10
318→35529,2
319→30867,2
320→33418,2
321→39122,4
322→36956,4
323→29182,10
324→30893,4
325→20659,30
326→32992,2
327→25925,40
328→39546,8
329→25119,36
330→38494,4
331→20037,34
332→36152,16
333→33420,4
334→31377,2
335→29986,18
336→31145,2
337→30097,86
338→22552,18
339→28068,4
340→23480,2
341→20661,2
342→40784,132
343→33276,10
344→25121,2
345→32196,2
346→33044,4
347→31713,6
348→30407,10
349→32350,8
350→24235,8
351→33282,8
352→32162,2
353→40542,4
354→30635,4
355→34295,4
356→29718,2
357→35347,16
358→37074,36
359→37848,4
360→32506,2
361→31383,6
362→22794,6
363→35723,6
364→23646,18
365→26106,4
366→30063,78
367→37246,8
368→36394,8
369→25783,2
370→28601,20
371→25922,2
372→39541,4
373→38493,10
374→39773,2
375→34850,22
376→22935,2
377→31946,12
378→31348,6
379→20834,10
380→36951,44
381→38231,2
382→30860,6
383→28291,2
384→23679,2
385→36199,4
386→40119,2
387→37877,2
388→21912,2
389→32539,2
390→29727,2
391→32961,6
392→20498,2
393→24038,72
394→30438,6
395→36732,2
396→33240,6
397→25325,6
398→27472,32
399→34065,92
400→26792,4
401→19973,92
402→28608,2
403→20465,6
404→36500,2
405→27224,2
406→34633,2
407→22756,4
408→36164,26
409→20001,14
410→36958,4
411→37284,8
412→20233,4
413→24693,60
414→33624,52
415→22564,4
416→30267,2
417→36190,16
418→21127,4
419→38836,2
420→37042,14
421→32530,2
422→24455,4
423→21315,66
424→38238,2
425→30055,2
426→26130,2
427→35527,8
428→24203,2
429→32366,2
430→30431,48
431→34091,2
432→30603,6
433→19987,96
434→23214,2
435→40574,2
436→33086,4
437→24031,4
438→23489,2
439→28061,2
440→27815,8
441→39321,16
442→37089,26
443→20802,2
444→28253,2
445→39577,2
446→34268,6
447→31528,2
448→34866,2
449→39745,12
450→38451,126
451→29711,4
452→35940,2
453→23825,2
454→34892,380
455→38663,16
456→40779,62
457→28095,6
458→35518,4
459→24658,10
460→36993,20
461→21924,2
462→38035,12
463→37841,6
464→30258,2
465→19980,14
466→29729,2
467→24036,8
468→38469,4
469→40573,6
470→21776,196
471→32361,14
472→26553,2
473→27481,6
474→30436,10
475→21312,18
476→32705,12
477→24660,2
478→28891,6
479→30052,4
